"layer","level","class","id","metric","value"
1,"patch",0,602,"area",0.81
1,"patch",0,603,"area",0.81
1,"patch",0,604,"area",0.81
1,"patch",0,605,"area",2.43
1,"patch",0,606,"area",0.81
1,"patch",0,607,"area",1.62
1,"patch",0,608,"area",1.62
1,"patch",0,609,"area",2.43
1,"patch",0,610,"area",2.43
1,"patch",0,611,"area",0.81
1,"patch",0,612,"area",0.81
1,"patch",0,613,"area",0.81
1,"patch",0,614,"area",0.81
1,"patch",0,615,"area",0.81
1,"patch",0,616,"area",2.43
1,"patch",0,617,"area",0.81
1,"patch",0,618,"area",6.48
1,"patch",0,619,"area",3.24
1,"patch",0,620,"area",0.81
1,"patch",0,621,"area",0.81
1,"patch",0,622,"area",0.81
1,"patch",0,623,"area",0.81
1,"patch",0,624,"area",0.81
1,"patch",0,625,"area",0.81
1,"patch",0,626,"area",2.43
1,"patch",0,627,"area",0.81
1,"patch",0,628,"area",16.2
1,"patch",0,629,"area",40.5
1,"patch",0,630,"area",0.81
1,"patch",0,631,"area",0.81
1,"patch",0,632,"area",0.81
1,"patch",0,633,"area",0.81
1,"patch",0,634,"area",0.81
1,"patch",0,635,"area",2.43
1,"patch",0,636,"area",2.43
1,"patch",0,637,"area",8.1
1,"patch",0,638,"area",0.81
1,"patch",0,639,"area",0.81
1,"patch",0,640,"area",0.81
1,"patch",0,641,"area",1.62
1,"patch",0,642,"area",1.62
1,"patch",0,643,"area",0.81
1,"patch",0,644,"area",0.81
1,"patch",0,645,"area",1.62
1,"patch",0,646,"area",0.81
1,"patch",0,647,"area",3.24
1,"patch",0,648,"area",2.43
1,"patch",0,649,"area",8.91
1,"patch",0,650,"area",4.05
1,"patch",0,651,"area",0.81
1,"patch",0,652,"area",0.81
1,"patch",0,653,"area",0.81
1,"patch",0,654,"area",0.81
1,"patch",0,655,"area",0.81
1,"patch",0,656,"area",0.81
1,"patch",0,657,"area",0.81
1,"patch",0,658,"area",0.81
1,"patch",0,659,"area",0.81
1,"patch",0,660,"area",6.48
1,"patch",0,661,"area",21.87
1,"patch",0,662,"area",1.62
1,"patch",0,663,"area",0.81
1,"patch",0,664,"area",12.15
1,"patch",0,665,"area",8.91
1,"patch",0,666,"area",1.62
1,"patch",0,667,"area",0.81
1,"patch",0,668,"area",2.43
1,"patch",0,669,"area",0.81
1,"patch",0,670,"area",0.81
1,"patch",0,671,"area",5.67
1,"patch",0,672,"area",2.43
1,"patch",0,673,"area",0.81
1,"patch",0,674,"area",1.62
1,"patch",0,675,"area",0.81
1,"patch",0,676,"area",4749.03
1,"patch",0,677,"area",166.05
1,"patch",0,678,"area",1.62
1,"patch",0,679,"area",0.81
1,"patch",0,680,"area",0.81
1,"patch",0,681,"area",1.62
1,"patch",0,682,"area",0.81
1,"patch",0,683,"area",0.81
1,"patch",0,684,"area",1.62
1,"patch",0,685,"area",0.81
1,"patch",0,686,"area",1.62
1,"patch",0,687,"area",0.81
1,"patch",0,688,"area",41.31
1,"patch",0,689,"area",1.62
1,"patch",0,690,"area",132.03
1,"patch",0,691,"area",0.81
1,"patch",0,692,"area",0.81
1,"patch",0,693,"area",0.81
1,"patch",0,694,"area",0.81
1,"patch",0,695,"area",0.81
1,"patch",0,696,"area",2.43
1,"patch",0,697,"area",1.62
1,"patch",0,698,"area",1.62
1,"patch",0,699,"area",0.81
1,"patch",0,700,"area",0.81
1,"patch",0,701,"area",0.81
1,"patch",0,702,"area",848.88
1,"patch",0,703,"area",0.81
1,"patch",0,704,"area",5.67
1,"patch",0,705,"area",0.81
1,"patch",0,706,"area",3.24
1,"patch",0,707,"area",2.43
1,"patch",0,708,"area",1.62
1,"patch",0,709,"area",0.81
1,"patch",0,710,"area",0.81
1,"patch",0,711,"area",0.81
1,"patch",0,712,"area",2.43
1,"patch",0,713,"area",0.81
1,"patch",0,714,"area",0.81
1,"patch",0,715,"area",1.62
1,"patch",0,716,"area",0.81
1,"patch",0,717,"area",0.81
1,"patch",0,718,"area",0.81
1,"patch",0,719,"area",0.81
1,"patch",0,720,"area",8.91
1,"patch",0,721,"area",3.24
1,"patch",0,722,"area",0.81
1,"patch",0,723,"area",1.62
1,"patch",0,724,"area",1.62
1,"patch",0,725,"area",0.81
1,"patch",0,726,"area",0.81
1,"patch",0,727,"area",1.62
1,"patch",0,728,"area",2.43
1,"patch",0,729,"area",2.43
1,"patch",0,730,"area",0.81
1,"patch",0,731,"area",4.86
1,"patch",0,732,"area",4.05
1,"patch",0,733,"area",0.81
1,"patch",0,734,"area",0.81
1,"patch",0,735,"area",12.15
1,"patch",0,736,"area",2.43
1,"patch",0,737,"area",0.81
1,"patch",0,738,"area",0.81
1,"patch",0,739,"area",4.86
1,"patch",0,740,"area",329.67
1,"patch",0,741,"area",2.43
1,"patch",0,742,"area",0.81
1,"patch",0,743,"area",2.43
1,"patch",0,744,"area",4.86
1,"patch",0,745,"area",0.81
1,"patch",0,746,"area",17964.99
1,"patch",0,747,"area",0.81
1,"patch",0,748,"area",12.15
1,"patch",0,749,"area",4.05
1,"patch",0,750,"area",1.62
1,"patch",0,751,"area",30.78
1,"patch",0,752,"area",1.62
1,"patch",0,753,"area",0.81
1,"patch",0,754,"area",0.81
1,"patch",0,755,"area",67.23
1,"patch",0,756,"area",40.5
1,"patch",0,757,"area",0.81
1,"patch",0,758,"area",15074.1
1,"patch",0,759,"area",2.43
1,"patch",0,760,"area",2479.41
1,"patch",0,761,"area",17.01
1,"patch",0,762,"area",1.62
1,"patch",0,763,"area",4.05
1,"patch",0,764,"area",504.63
1,"patch",0,765,"area",0.81
1,"patch",0,766,"area",0.81
1,"patch",0,767,"area",0.81
1,"patch",0,768,"area",0.81
1,"patch",0,769,"area",0.81
1,"patch",0,770,"area",0.81
1,"patch",0,771,"area",0.81
1,"patch",0,772,"area",2.43
1,"patch",0,773,"area",51.03
1,"patch",0,774,"area",0.81
1,"patch",0,775,"area",2.43
1,"patch",0,776,"area",0.81
1,"patch",0,777,"area",1.62
1,"patch",0,778,"area",119.07
1,"patch",0,779,"area",0.81
1,"patch",0,780,"area",0.81
1,"patch",0,781,"area",0.81
1,"patch",0,782,"area",0.81
1,"patch",0,783,"area",554.85
1,"patch",0,784,"area",0.81
1,"patch",0,785,"area",0.81
1,"patch",0,786,"area",3.24
1,"patch",0,787,"area",0.81
1,"patch",0,788,"area",0.81
1,"patch",0,789,"area",5.67
1,"patch",0,790,"area",2.43
1,"patch",0,791,"area",0.81
1,"patch",0,792,"area",0.81
1,"patch",0,793,"area",38.07
1,"patch",0,794,"area",0.81
1,"patch",0,795,"area",0.81
1,"patch",0,796,"area",470.61
1,"patch",0,797,"area",0.81
1,"patch",0,798,"area",17.01
1,"patch",0,799,"area",2.43
1,"patch",0,800,"area",0.81
1,"patch",0,801,"area",1.62
1,"patch",0,802,"area",28.35
1,"patch",0,803,"area",2.43
1,"patch",0,804,"area",0.81
1,"patch",0,805,"area",3.24
1,"patch",0,806,"area",43.74
1,"patch",0,807,"area",7.29
1,"patch",0,808,"area",9234.81
1,"patch",0,809,"area",0.81
1,"patch",0,810,"area",0.81
1,"patch",0,811,"area",294.03
1,"patch",0,812,"area",0.81
1,"patch",0,813,"area",17.82
1,"patch",0,814,"area",166.05
1,"patch",0,815,"area",0.81
1,"patch",0,816,"area",3.24
1,"patch",0,817,"area",0.81
1,"patch",0,818,"area",0.81
