"","aspen.presence","aspen.prob","cell","x","y","tpi3","tpi15","hli","elev","pH","clay","om","thetas","ADI","PRATIO","DD_0","GSP","TD","RH"
"5129","1",0.0740740746259689,30628104,217835,4257975,0.446878135204315,4.23266410827637,0.755808770656586,2573.65673828125,6.58218574523926,20.4112033843994,0.204791039228439,0.522602021694183,0.0656783059239388,0.457112908363342,493.719604492188,292.476104736328,22.6147499084473,52.1116905212402
"5130","1",0.234567895531654,35520171,220265,4180935,-0.105617925524712,-1.52133476734161,0.85894238948822,2588.22875976562,6.87334299087524,20.8873596191406,0.525450170040131,0.510394632816315,0.0526211634278297,0.491485297679901,648.94873046875,319.150726318359,19.8217372894287,45.5580291748047
"5131","1",0.456790119409561,22000182,373355,4393875,0.51615571975708,11.6566066741943,0.664259970188141,3126.76171875,6.54660511016846,14.0471458435059,0.303751856088638,0.51946371793747,0.0398105606436729,0.443011432886124,1034.04016113281,336.461700439453,21.4150714874268,55.5571632385254
"5132","1",0.938271582126617,30206014,291635,4264635,0.127931788563728,7.31510353088379,0.808431208133698,2926.52416992188,6.33949041366577,19.4987239837646,0.453468471765518,0.523436427116394,0.0758105963468552,0.516607105731964,755.354675292969,246.154571533203,22.0566082000732,54.1252212524414
"5133","1",0.19753086566925,36783922,286505,4161045,-0.133888408541679,-7.38313579559326,0.448820143938065,3187.16845703125,6.02472305297852,15.9279336929321,0.666202008724213,0.566783607006073,0.0279646813869476,0.464424043893814,987.590209960938,439.057708740234,18.3754081726074,50.726203918457
"5134","1",0.938271582126617,15879087,343655,4490265,0.47037672996521,19.2698040008545,0.932381570339203,2497.37670898438,6.23068761825562,15.3905391693115,0.54256397485733,0.541042268276215,0.0456046015024185,0.402742862701416,857.31298828125,333.861419677734,23.6524276733398,50.4511566162109
"5135","1",0.234567895531654,17159227,341855,4470105,0.563108742237091,5.91106796264648,0.748646974563599,2149.19116210938,6.53371667861938,19.1319847106934,0.696338534355164,0.534758985042572,0.0709623023867607,0.481321275234222,826.158508300781,267.103210449219,25.1934471130371,45.4033355712891
"5136","1",0.0246913582086563,25490813,262295,4338885,-0.169396325945854,-0.28828364610672,0.69497537612915,3156.00634765625,6.43947696685791,20.9761600494385,0.601436197757721,0.540710926055908,0.0291509591042995,0.428101301193237,1153.78173828125,397.532806396484,20.4074306488037,54.1712112426758
"5137","1",0.0246913582086563,2432699,434285,4702035,-0.413776725530624,-4.78237724304199,0.740413248538971,2653.99926757812,5.89078760147095,11.1062173843384,0.443717151880264,0.527327239513397,0.0463036186993122,0.524677515029907,1205.04162597656,360.559020996094,24.6552543640137,54.6643562316895
"5138","1",0.0617283955216408,29634519,292085,4273635,0.104983687400818,-9.30721759796143,0.647000968456268,3132.63110351562,6.23255252838135,14.4645490646362,0.905978858470917,0.567819952964783,0.0525768101215363,0.47948157787323,979.17578125,286.930786132812,21.3956699371338,53.8053016662598
"5139","1",0.617283940315247,27114134,285785,4313325,0.0403609238564968,-15.5987768173218,0.453248292207718,2164.681640625,7.87012338638306,16.3649616241455,0.0867005288600922,0.496157079935074,0.091127447783947,0.469453305006027,416.793090820312,235.225128173828,23.5473785400391,54.1047821044922
"5140","1",0.617283940315247,40676165,316025,4099755,-0.504280090332031,-3.61039924621582,0.733122944831848,2371.09716796875,6.92586374282837,16.3549900054932,0.176235467195511,0.466816008090973,0.0782664641737938,0.508432805538177,401.019226074219,289.048522949219,22.5009250640869,52.3112564086914
"5141","1",0.444444447755814,23897403,359045,4363995,0.265533000230789,5.18428659439087,0.797015309333801,2925.65185546875,6.16265439987183,14.3119850158691,0.740442335605621,0.552004098892212,0.0454268008470535,0.453842133283615,1042.93994140625,307.645812988281,21.8991680145264,46.2030639648438
"5142","1",0.0987654328346252,21622253,306845,4399815,-0.0820489972829819,-0.0112882303074002,0.786584734916687,3225.98095703125,6.32148504257202,24.1138763427734,0.781448423862457,0.536780714988708,0.0267790704965591,0.396384119987488,1127.17810058594,411.251190185547,20.9947814941406,57.6072158813477
"5143","1",0.148148149251938,18941579,276335,4442025,1.78314101696014,24.7184429168701,0.876690745353699,2744.37109375,6.44871044158936,18.0180149078369,0.649733006954193,0.52250725030899,0.0479337126016617,0.452812165021896,738.391357421875,335.738739013672,21.0898170471191,55.0049057006836
"5144","1",0.0246913582086563,20778305,475325,4413135,0.636907637119293,21.5137062072754,0.689053237438202,2318.849609375,6.43116092681885,20.5623798370361,0.30841475725174,0.508792281150818,0.0749398544430733,0.65065985918045,333.590759277344,375.227142333984,20.5514640808105,56.0991592407227
"5145","1",0.283950626850128,36457307,209105,4166175,0.141135737299919,-3.28000664710999,0.889441728591919,2563.69067382812,6.87047243118286,16.1211528778076,0.38751620054245,0.499514490365982,0.0605873130261898,0.46640932559967,529.990417480469,299.880187988281,20.9654922485352,49.862606048584
"5146","1",0.19753086566925,49397450,333575,3962415,-1.17961168289185,-8.7243127822876,0.656660914421082,2497.08740234375,6.9904408454895,17.9548015594482,0.227458596229553,0.500633478164673,0.075689323246479,0.542392253875732,323.601348876953,314.624237060547,19.821496963501,55.5949096679688
"5147","1",0.0123456791043282,48403331,359765,3978075,0.315049678087234,8.99802684783936,0.544097661972046,2740.47875976562,5.9261326789856,13.5565853118896,0.356712311506271,0.507101833820343,0.0526901446282864,0.506399869918823,539.841613769531,356.89794921875,19.7092342376709,50.4057769775391
"5148","1",0.629629611968994,38820649,483335,4129005,-0.84690672159195,-22.9405879974365,0.909853875637054,3298.28784179688,5.26311159133911,10.7514171600342,1.07683038711548,0.550875186920166,0.0386432893574238,0.514147937297821,964.823608398438,375.837005615234,18.9425449371338,52.0298347473145
"5149","1",0.555555582046509,33091494,238085,4219185,0.180371925234795,-1.15892720222473,0.646770894527435,2628.6962890625,6.31206846237183,18.2108421325684,0.308166563510895,0.48911464214325,0.0605122298002243,0.530085980892181,590.681030273438,321.896392822266,20.4302158355713,46.2424774169922
"5150","1",0.95061731338501,23348523,337445,4372635,-1.40752506256104,-17.4838066101074,0.613003075122833,2636.59643554688,6.09989833831787,13.1968612670898,0.671950876712799,0.53608626127243,0.0633820593357086,0.488876402378082,779.376037597656,278.615844726562,22.156322479248,51.2627410888672
