"aspen.presence","aspen.prob","cell","x","y","tpi3","tpi15","hli","elev","pH","clay","om","thetas","ADI","PRATIO","GSPDD5","GSP","TD","DD_0","RH"
"0",0,19685850,395225,4430325,0.00988657679408789,-1.30697226524353,0.736179828643799,2390.44091796875,6.72609663009644,19.15869140625,0.440749496221542,0.517876744270325,0.096605122089386,0.59417736530304,289.831726074219,222.286605834961,25.0206546783447,996.480346679688,43.3866386413574
"0",0,16480170,434375,4480815,-0.129392027854919,-6.32964468002319,0.835014522075653,3201.06005859375,5.55257225036621,15.0955972671509,0.71555757522583,0.560151040554047,0.0228943843394518,0.435400456190109,219.741592407227,430.195770263672,20.3723335266113,1390.16479492188,53.8018951416016
"0",0,12302095,397475,4546605,-1.83069467544556,-15.3222513198853,0.778195917606354,2719.14282226562,5.7418794631958,10.9332437515259,0.511661291122437,0.531298696994781,0.0553736090660095,0.507235944271088,227.312072753906,267.094482421875,21.2578678131104,1077.23193359375,50.0434226989746
"0",0,41928718,403145,4080045,0.24392919242382,4.643798828125,0.783873617649078,2691.93286132812,7.56716966629028,16.591251373291,-0.00545618869364262,0.510978698730469,0.0680454224348068,0.551486492156982,366.057983398438,288.581695556641,22.0125045776367,765.273071289062,46.5206413269043
"0",0,48391756,346715,3978255,1.15011668205261,24.5170974731445,0.728441596031189,2656.7099609375,6.06931352615356,10.3198223114014,0.281951248645782,0.462880462408066,0.0609460882842541,0.519038915634155,503.037231445312,331.744781494141,19.9220371246338,480.030426025391,49.4663848876953
"0",0,46666198,380195,4005435,-0.58045506477356,-13.2784509658813,0.799374163150787,1955.08996582031,7.72793388366699,8.47267913818359,-0.422929048538208,0.447010159492493,0.160853326320648,0.65174001455307,542.125366210938,208.287628173828,22.5445041656494,223.805191040039,51.1885871887207
"0",0,35949546,287765,4174185,0.904072165489197,14.7806921005249,0.785017311573029,3668.32299804688,5.23748970031738,13.9208173751831,0.554072737693787,0.530305564403534,0.0203165616840124,0.43654876947403,220.313110351562,467.185699462891,18.2532863616943,1241.68420410156,50.2882347106934
"0",0,13770464,362735,4523475,0.546811521053314,23.4924774169922,0.979739367961884,3265.09814453125,4.96637153625488,15.5922679901123,0.367740213871002,0.489418596029282,0.0203141886740923,0.384442538022995,317.669677734375,495.675750732422,22.1979064941406,1431.95971679688,59.2616348266602
"0",0,33778770,370925,4208385,0.418093323707581,13.2804183959961,0.888581454753876,3306.171875,5.83908843994141,16.5350227355957,0.292284458875656,0.534295797348022,0.0402768589556217,0.473175197839737,298.800628662109,346.206787109375,20.3337230682373,969.042236328125,50.8029823303223
"0",0,13742512,418805,4523925,0.0141539899632335,1.54379022121429,0.73130476474762,2527.0849609375,6.2648663520813,11.8476762771606,0.538151443004608,0.530858159065247,0.0682618543505669,0.555652022361755,301.913482666016,271.096038818359,21.5969791412354,855.037536621094,47.9467849731445
"0",0,4930459,461735,4662705,0.0375986471772194,0.205693542957306,0.759723365306854,2163.55493164062,6.24088096618652,17.8988666534424,0.135930746793747,0.506397902965546,0.0892808437347412,0.678405463695526,478.156799316406,302.3173828125,23.827880859375,659.067199707031,58.1091651916504
"0",0,33589628,321695,4211355,-0.229525372385979,1.66178274154663,0.790354907512665,3234.9150390625,6.26827573776245,17.5396118164062,0.743601262569427,0.548613369464874,0.0488297529518604,0.487800747156143,234.605773925781,290.788421630859,20.952428817749,1074.462890625,47.7025451660156
"0",0,27447009,412235,4308105,1.39511692523956,21.125129699707,0.840875029563904,2926.03881835938,6.40207529067993,18.4887313842773,0.394229203462601,0.525777816772461,0.0931336805224419,0.644862055778503,269.990020751953,235.663772583008,21.3405818939209,805.105407714844,52.3411560058594
"0",0,45408320,328175,4025235,1.18955183029175,12.274697303772,0.922247409820557,2279.68798828125,7.16714191436768,20.3506050109863,0.100364319980145,0.484747529029846,0.105705931782722,0.579781949520111,456.969268798828,240.242752075195,23.0542488098145,455.975006103516,43.0366287231445
"0",0,19965988,404495,4425915,-0.110680378973484,-1.49688863754272,0.748807370662689,2589.00634765625,6.30911064147949,18.7499866485596,0.308716595172882,0.519309520721436,0.0826372876763344,0.565912485122681,277.244201660156,236.426071166992,23.5062198638916,980.613525390625,46.5733985900879
"0",0,42016242,565055,4078695,0.906009197235107,8.59664440155029,0.534170210361481,2453.84057617188,6.33562898635864,18.336145401001,0.395332932472229,0.513546228408813,0.0746509209275246,0.70315146446228,721.749450683594,397.635406494141,20.0708503723145,365.995635986328,50.9129867553711
"0",0,17777410,428525,4460385,0.355643421411514,-0.958225905895233,0.862983584403992,2692.93627929688,5.65190935134888,9.02561569213867,0.57079029083252,0.51820582151413,0.0556469149887562,0.522272229194641,294.859130859375,297.017486572266,21.8310394287109,990.469116210938,48.736888885498
"0",0,12918998,368945,4536885,0.336639076471329,-0.173240482807159,0.816743791103363,2599.90869140625,5.95988941192627,12.1759481430054,0.439742743968964,0.526269853115082,0.0538238324224949,0.515727281570435,267.094696044922,291.087738037109,21.2240619659424,1007.95001220703,47.4019432067871
